Cultura,AnoMes,Ano,Mes,Preco_Minimo,Preco_Medio,Preco_Maximo,Custo_Medio
Milho,2019/08,2019,8,37.33,38.12,38.91,35.08
Milho,2019/09,2019,9,37.02,38.78,40.54,35.09
Milho,2019/10,2019,10,37.52,39.04,40.56,35.41
Milho,2019/11,2019,11,39.04,40.45,41.86,35.66
Milho,2019/12,2019,12,40.46,41.29,42.12,36.4
Milho,2020/01,2020,1,41.53,42.52,43.51,36.24
Milho,2020/02,2020,2,39.73,41.77,43.81,36.53
Milho,2020/03,2020,3,40.71,41.86,43.01,37.09
Milho,2020/04,2020,4,41.05,42.94,44.83,37.09
Milho,2020/05,2020,5,42.32,43.99,45.66,37.59
Milho,2020/06,2020,6,41.55,43.21,44.87,37.53
Milho,2020/07,2020,7,39.84,41.71,43.58,37.53
Milho,2020/08,2020,8,40.56,42.35,44.14,37.64
Milho,2020/09,2020,9,39.66,40.78,41.9,38.02
Milho,2020/10,2020,10,40.95,42.46,43.97,38.2
Milho,2020/11,2020,11,41.04,41.98,42.92,38.01
Milho,2020/12,2020,12,41.67,42.94,44.21,38.49
Milho,2021/01,2021,1,42.38,43.55,44.72,38.86
Milho,2021/02,2021,2,44.86,45.87,46.88,38.73
Milho,2021/03,2021,3,44.36,45.85,47.34,38.68
Milho,2021/04,2021,4,43.39,45.54,47.69,39.32
Milho,2021/05,2021,5,43.84,45.94,48.04,39.73
Milho,2021/06,2021,6,43.63,44.53,45.43,39.43
Milho,2021/07,2021,7,42.9,44.95,47.0,40.34
Milho,2021/08,2021,8,41.85,43.7,45.55,40.05
Milho,2021/09,2021,9,43.0,44.18,45.36,39.85
Milho,2021/10,2021,10,43.25,44.17,45.09,40.18
Milho,2021/11,2021,11,44.15,45.62,47.09,40.17
Milho,2021/12,2021,12,44.97,46.07,47.17,40.92
Milho,2022/01,2022,1,44.39,45.85,47.31,41.04
Milho,2022/02,2022,2,44.82,46.65,48.48,40.7
Milho,2022/03,2022,3,47.31,48.35,49.39,41.2
Milho,2022/04,2022,4,46.2,47.62,49.04,41.87
Milho,2022/05,2022,5,45.7,47.73,49.76,42.15
Milho,2022/06,2022,6,45.72,46.77,47.82,41.32
Milho,2022/07,2022,7,44.62,46.97,49.32,41.93
Milho,2022/08,2022,8,44.84,46.88,48.92,42.51
Milho,2022/09,2022,9,44.87,47.16,49.45,42.12
Milho,2022/10,2022,10,44.42,45.54,46.66,42.22
Milho,2022/11,2022,11,46.42,48.2,49.98,42.53
Milho,2022/12,2022,12,47.25,49.37,51.49,42.66
Milho,2023/01,2023,1,48.06,50.19,52.32,42.78
Milho,2023/02,2023,2,49.16,51.69,54.22,42.96
Milho,2023/03,2023,3,48.26,49.72,51.18,43.9
Milho,2023/04,2023,4,50.9,52.58,54.26,44.14
Milho,2023/05,2023,5,47.45,49.46,51.47,44.22
Milho,2023/06,2023,6,46.79,48.9,51.01,44.71
Milho,2023/07,2023,7,48.56,49.74,50.92,45.09
Milho,2023/08,2023,8,48.32,49.84,51.36,44.54
Milho,2023/09,2023,9,46.89,48.6,50.31,44.61
Milho,2023/10,2023,10,48.22,50.47,52.72,44.49
Milho,2023/11,2023,11,49.67,51.69,53.71,45.66
Milho,2023/12,2023,12,50.33,52.05,53.77,45.73
Milho,2024/01,2024,1,52.48,54.0,55.52,46.02
Milho,2024/02,2024,2,51.7,53.55,55.4,45.7
Milho,2024/03,2024,3,53.11,54.64,56.17,46.47
Milho,2024/04,2024,4,53.7,54.94,56.18,46.71
Milho,2024/05,2024,5,50.82,52.61,54.4,46.53
Milho,2024/06,2024,6,51.25,52.34,53.43,47.06
Milho,2024/07,2024,7,49.68,51.03,52.38,47.18
Milho,2024/08,2024,8,48.69,51.06,53.43,47.24
Milho,2024/09,2024,9,49.79,50.82,51.85,47.78
Milho,2024/10,2024,10,48.58,50.69,52.8,47.32
Milho,2024/11,2024,11,51.51,53.7,55.89,47.74
Milho,2024/12,2024,12,51.65,54.01,56.37,47.14
Milho,2025/01,2025,1,52.08,54.29,56.5,47.64
Milho,2025/02,2025,2,54.47,56.4,58.33,48.16
Milho,2025/03,2025,3,53.97,56.36,58.75,48.06
Milho,2025/04,2025,4,55.66,57.27,58.88,48.14
Milho,2025/05,2025,5,53.41,54.82,56.23,48.14
Milho,2025/06,2025,6,53.09,55.47,57.85,48.42
Milho,2025/07,2025,7,51.82,53.67,55.52,49.41
Milho,2025/08,2025,8,53.66,55.65,57.64,48.95
Milho,2025/09,2025,9,51.4,52.76,54.12,49.06
Milho,2025/10,2025,10,52.39,53.48,54.57,49.71
Milho,2025/11,2025,11,52.02,54.71,57.4,49.93
Milho,2025/12,2025,12,55.98,57.34,58.7,50.6
Milho,2026/01,2026,1,55.18,57.85,60.52,50.35
Milho,2026/02,2026,2,56.78,58.73,60.68,49.96
Milho,2026/03,2026,3,54.95,57.73,60.51,50.59
Milho,2026/04,2026,4,58.49,60.43,62.37,50.17
Milho,2026/05,2026,5,57.95,59.23,60.51,50.48
Milho,2026/06,2026,6,56.51,58.2,59.89,51.97
Milho,2026/07,2026,7,53.47,55.87,58.27,51.56
Trigo,2019/01,2019,1,44.95,46.19,47.43,36.02
Trigo,2019/02,2019,2,43.37,44.86,46.35,36.61
Trigo,2019/03,2019,3,44.89,46.24,47.59,36.57
Trigo,2019/04,2019,4,43.65,45.57,47.49,37.15
Trigo,2019/05,2019,5,44.05,45.24,46.43,37.05
Trigo,2019/06,2019,6,44.96,46.12,47.28,36.62
Trigo,2019/07,2019,7,45.21,46.78,48.35,37.41
Trigo,2019/08,2019,8,47.25,48.56,49.87,37.76
Trigo,2019/09,2019,9,48.71,50.4,52.09,37.95
Trigo,2019/10,2019,10,48.99,51.23,53.47,38.1
Trigo,2019/11,2019,11,47.78,50.19,52.6,38.09
Trigo,2019/12,2019,12,47.35,49.29,51.23,38.87
Trigo,2020/01,2020,1,48.4,49.5,50.6,38.23
Trigo,2020/02,2020,2,45.52,47.54,49.56,38.91
Trigo,2020/03,2020,3,46.27,47.39,48.51,39.27
Trigo,2020/04,2020,4,46.58,48.94,51.3,39.27
Trigo,2020/05,2020,5,48.05,49.15,50.25,38.94
Trigo,2020/06,2020,6,48.57,50.06,51.55,39.4
Trigo,2020/07,2020,7,47.73,50.18,52.63,40.32
Trigo,2020/08,2020,8,50.13,52.69,55.25,40.74
Trigo,2020/09,2020,9,52.13,53.64,55.15,39.8
Trigo,2020/10,2020,10,52.23,54.07,55.91,40.76
Trigo,2020/11,2020,11,52.9,54.28,55.66,40.9
Trigo,2020/12,2020,12,50.96,52.79,54.62,40.51
Trigo,2021/01,2021,1,49.68,51.22,52.76,41.44
Trigo,2021/02,2021,2,50.73,52.29,53.85,41.69
Trigo,2021/03,2021,3,47.98,50.42,52.86,42.05
Trigo,2021/04,2021,4,49.86,51.6,53.34,41.65
Trigo,2021/05,2021,5,49.19,51.73,54.27,41.98
Trigo,2021/06,2021,6,50.83,53.48,56.13,42.52
Trigo,2021/07,2021,7,53.03,54.81,56.59,42.13
Trigo,2021/08,2021,8,52.9,55.26,57.62,42.91
Trigo,2021/09,2021,9,55.77,57.27,58.77,43.03
Trigo,2021/10,2021,10,56.07,57.99,59.91,43.44
Trigo,2021/11,2021,11,52.24,54.94,57.64,43.55
Trigo,2021/12,2021,12,53.35,54.7,56.05,43.69
Trigo,2022/01,2022,1,53.76,55.01,56.26,44.49
Trigo,2022/02,2022,2,53.75,55.63,57.51,43.55
Trigo,2022/03,2022,3,53.3,55.23,57.16,44.56
Trigo,2022/04,2022,4,53.02,54.56,56.1,44.94
Trigo,2022/05,2022,5,55.44,57.0,58.56,44.78
Trigo,2022/06,2022,6,53.53,56.21,58.89,44.94
Trigo,2022/07,2022,7,56.5,59.22,61.94,44.84
Trigo,2022/08,2022,8,58.08,60.03,61.98,45.96
Trigo,2022/09,2022,9,57.05,59.71,62.37,45.29
Trigo,2022/10,2022,10,56.89,59.11,61.33,46.49
Trigo,2022/11,2022,11,57.99,59.44,60.89,46.07
Trigo,2022/12,2022,12,56.09,58.22,60.35,46.3
Trigo,2023/01,2023,1,56.11,57.82,59.53,46.02
Trigo,2023/02,2023,2,55.91,58.07,60.23,46.3
Trigo,2023/03,2023,3,56.93,58.17,59.41,47.23
Trigo,2023/04,2023,4,55.73,58.32,60.91,46.95
Trigo,2023/05,2023,5,56.45,59.09,61.73,48.01
Trigo,2023/06,2023,6,58.5,59.76,61.02,47.55
Trigo,2023/07,2023,7,58.63,61.46,64.29,48.3
Trigo,2023/08,2023,8,59.83,62.05,64.27,47.92
Trigo,2023/09,2023,9,61.76,63.82,65.88,48.42
Trigo,2023/10,2023,10,59.7,61.81,63.92,49.09
Trigo,2023/11,2023,11,59.59,62.12,64.65,48.85
Trigo,2023/12,2023,12,60.4,63.28,66.16,49.38
Trigo,2024/01,2024,1,58.9,60.69,62.48,49.39
Trigo,2024/02,2024,2,58.59,61.43,64.27,48.6
Trigo,2024/03,2024,3,56.45,58.74,61.03,50.13
Trigo,2024/04,2024,4,59.85,62.5,65.15,49.62
Trigo,2024/05,2024,5,57.8,60.15,62.5,50.5
Trigo,2024/06,2024,6,60.18,62.74,65.3,50.76
Trigo,2024/07,2024,7,59.85,62.6,65.35,50.06
Trigo,2024/08,2024,8,63.47,65.06,66.65,50.64
Trigo,2024/09,2024,9,63.63,66.54,69.45,50.31
Trigo,2024/10,2024,10,61.74,64.73,67.72,51.21
Trigo,2024/11,2024,11,61.88,64.96,68.04,50.7
Trigo,2024/12,2024,12,63.22,65.02,66.82,51.08
Trigo,2025/01,2025,1,59.63,62.38,65.13,52.3
Trigo,2025/02,2025,2,62.67,64.26,65.85,51.81
Trigo,2025/03,2025,3,60.43,62.79,65.15,52.33
Trigo,2025/04,2025,4,61.74,63.49,65.24,52.88
Trigo,2025/05,2025,5,61.57,63.58,65.59,52.52
Trigo,2025/06,2025,6,62.66,65.08,67.5,52.89
Trigo,2025/07,2025,7,67.57,69.58,71.59,53.75
Trigo,2025/08,2025,8,67.52,69.48,71.44,53.31
Trigo,2025/09,2025,9,67.37,70.35,73.33,52.7
Trigo,2025/10,2025,10,67.7,70.15,72.6,54.29
Trigo,2025/11,2025,11,65.34,68.35,71.36,54.03
Trigo,2025/12,2025,12,65.12,67.77,70.42,54.27
Trigo,2026/01,2026,1,65.29,68.13,70.97,54.55
Trigo,2026/02,2026,2,65.4,68.04,70.68,55.17
Trigo,2026/03,2026,3,65.08,67.04,69.0,54.63
Trigo,2026/04,2026,4,64.36,67.18,70.0,54.27
Trigo,2026/05,2026,5,64.2,67.04,69.88,54.63
Trigo,2026/06,2026,6,65.31,67.76,70.21,56.17
Trigo,2026/07,2026,7,67.58,70.94,74.3,56.15
